,remote_changes
6239,"[{'score': 0.904038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6240,"[{'score': 0.619914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6241,"[{'score': 0.854596, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6242,"[{'score': 0.897643, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.980753, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6243,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6244,"[{'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6245,"[{'score': 0.636726, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6246,"[{'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6247,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6248,"[{'score': 0.522859, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942754, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6249,"[{'score': 0.626462, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6250,[]
6251,[]
6252,"[{'score': 0.50106, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6253,"[{'score': 0.606109, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6254,"[{'score': 0.986301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.747663, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6255,[]
6256,"[{'score': 0.528725, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6257,"[{'score': 0.868982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6258,[]
6259,"[{'score': 0.55354, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6260,[]
6261,"[{'score': 0.873624, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6262,[]
6263,"[{'score': 0.664182, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6264,[]
6265,"[{'score': 0.600944, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.793955, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.751838, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6266,"[{'score': 0.707595, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.743836, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.909926, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6267,[]
6268,[]
6269,
6270,[]
6271,"[{'score': 0.866306, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6272,"[{'score': 0.656763, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.964203, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.72612, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6273,"[{'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6274,[]
6275,"[{'score': 0.543101, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6276,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6277,"[{'score': 0.999997, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6278,"[{'score': 0.668095, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6279,"[{'score': 0.933436, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6280,[]
6281,[]
6282,"[{'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.761129, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6283,[]
6284,[]
6285,"[{'score': 0.580568, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6286,"[{'score': 0.607158, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6287,"[{'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6288,"[{'score': 0.617152, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6289,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6290,[]
6291,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6292,[]
6293,"[{'score': 0.509728, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6294,[]
6295,"[{'score': 0.557211, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.737246, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.909156, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6296,"[{'score': 0.762629, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.551112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6297,"[{'score': 0.597364, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.764826, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6298,[]
6299,"[{'score': 0.762199, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6300,[]
6301,"[{'score': 0.810833, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.989403, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.944845, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6302,"[{'score': 0.520677, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.571567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6303,"[{'score': 0.974776, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6304,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6305,"[{'score': 0.510295, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6306,"[{'score': 0.540213, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.940913, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.918029, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6307,"[{'score': 0.573708, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.731338, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6308,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6309,[]
6310,"[{'score': 0.903035, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6311,[]
6312,"[{'score': 0.79233, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6313,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6314,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6315,"[{'score': 0.950778, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6316,[]
6317,[]
6318,"[{'score': 0.902459, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6319,[]
6320,[]
6321,[]
6322,"[{'score': 0.501928, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6323,"[{'score': 0.503346, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6324,[]
6325,[]
6326,"[{'score': 0.558364, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.702145, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6327,"[{'score': 0.549077, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6328,[]
6329,"[{'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.887937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6330,[]
6331,"[{'score': 0.554281, 'tone_id': 'anger', 'tone_name': 'Anger'}]"
6332,"[{'score': 0.911392, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6333,"[{'score': 0.628177, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6334,"[{'score': 0.60608, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.917202, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.608066, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6335,[]
6336,[]
6337,[]
6338,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6339,"[{'score': 0.572397, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6340,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6341,"[{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6342,"[{'score': 0.972231, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.59538, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6343,[]
6344,
6345,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6346,[]
6347,"[{'score': 0.849846, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6348,"[{'score': 0.513465, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6349,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6350,"[{'score': 0.507518, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.870553, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6351,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6352,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6353,"[{'score': 0.570989, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.85365, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6354,"[{'score': 0.514491, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6355,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6356,"[{'score': 0.648101, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6357,"[{'score': 0.709559, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6358,[]
6359,[]
6360,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6361,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6362,"[{'score': 0.904817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6363,[]
6364,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6365,"[{'score': 0.660271, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6366,[]
6367,"[{'score': 0.604856, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.715056, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6368,"[{'score': 0.740329, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6369,"[{'score': 0.667238, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6370,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6371,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6372,[]
6373,"[{'score': 0.636823, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.84639, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6374,[]
6375,"[{'score': 0.539304, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6376,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6377,[]
6378,"[{'score': 0.504891, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.947929, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6379,"[{'score': 0.506093, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6380,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6381,"[{'score': 0.575894, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6382,"[{'score': 0.678067, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.882339, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6384,"[{'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6385,"[{'score': 0.652777, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6386,[]
6387,"[{'score': 0.844798, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6388,"[{'score': 0.981196, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.531174, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6389,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6390,"[{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6391,"[{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6392,"[{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6393,[]
6394,[]
6395,"[{'score': 0.887937, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6396,"[{'score': 0.565693, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.79566, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6397,"[{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6398,"[{'score': 0.710256, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.843513, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.975589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6399,[]
6400,"[{'score': 0.558662, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6401,"[{'score': 0.546801, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.89086, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.690857, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6402,[]
6403,"[{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6404,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6405,[]
6406,[]
6407,"[{'score': 0.559066, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.937821, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6408,"[{'score': 0.626271, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6409,"[{'score': 0.72714, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.632275, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6410,"[{'score': 0.656156, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.782938, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6411,"[{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6412,"[{'score': 0.637746, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.839659, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6413,"[{'score': 0.807548, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6414,"[{'score': 0.557629, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.895772, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6415,"[{'score': 0.518233, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6417,[]
6418,"[{'score': 0.726607, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6419,"[{'score': 0.656148, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6420,"[{'score': 0.9761, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.924432, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6421,"[{'score': 0.90601, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6422,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6423,"[{'score': 0.539167, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.923246, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6424,"[{'score': 0.885332, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6425,"[{'score': 0.914066, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6426,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.891023, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6427,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6428,"[{'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6429,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6430,"[{'score': 0.555632, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.888875, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6431,"[{'score': 0.543375, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6432,[]
6433,"[{'score': 0.509437, 'tone_id': 'anger', 'tone_name': 'Anger'}]"
6434,"[{'score': 0.811599, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.795808, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6435,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6436,[]
6437,[]
6438,"[{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6439,"[{'score': 0.537397, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6440,"[{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6441,"[{'score': 0.647931, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6442,"[{'score': 0.959263, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.951456, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6443,[]
6444,[]
6445,[]
6446,"[{'score': 0.539681, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6447,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6448,[]
6449,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6450,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6451,"[{'score': 0.638972, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6452,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6453,"[{'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6454,"[{'score': 0.798695, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6455,[]
6456,"[{'score': 0.95836, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6457,"[{'score': 0.81071, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.943688, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.544371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6458,"[{'score': 0.644984, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.86591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6459,"[{'score': 0.634268, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.824558, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6460,"[{'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6461,"[{'score': 0.994551, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6462,[]
6463,"[{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6464,[]
6465,[]
6466,[]
6467,"[{'score': 0.606622, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.643758, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751891, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6468,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6469,"[{'score': 0.90964, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6470,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6471,"[{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6472,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6473,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6474,[]
6475,[]
6476,"[{'score': 0.786013, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6477,[]
6478,"[{'score': 0.688841, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6479,"[{'score': 0.994551, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6480,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6481,"[{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.851087, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6482,"[{'score': 0.510051, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.570855, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6483,[]
6484,"[{'score': 0.793008, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.959673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6485,
6486,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6487,"[{'score': 0.544041, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.928936, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6488,[]
6489,"[{'score': 0.777558, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6490,"[{'score': 0.544279, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6491,"[{'score': 0.577169, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6492,"[{'score': 0.539686, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6493,[]
6494,"[{'score': 0.909538, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6495,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6496,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6497,"[{'score': 0.534684, 'tone_id': 'anger', 'tone_name': 'Anger'}]"
6498,"[{'score': 0.501144, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6499,"[{'score': 0.833372, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.96113, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6500,"[{'score': 0.594002, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
6501,"[{'score': 0.57635, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6502,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
6503,"[{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
6504,"[{'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
6505,"[{'score': 0.617915, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.770262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946954, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6506,[]
6507,"[{'score': 0.523801, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
6508,"[{'score': 0.710693, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
