,why_mode
4225,"[{'score': 0.521541, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4226,[]
4227,"[{'score': 0.615967, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
4228,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4229,[]
4230,"[{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4231,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4233,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4234,"[{'score': 0.547441, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4235,[]
4236,"[{'score': 0.57698, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.649361, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4237,"[{'score': 0.631709, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4238,[]
4239,[]
4240,"[{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4241,"[{'score': 0.543565, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.907747, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4242,[]
4243,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4244,"[{'score': 0.657152, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4245,
4246,"[{'score': 0.544585, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4247,"[{'score': 0.61476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4248,
4249,"[{'score': 0.55412, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.902459, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4250,"[{'score': 0.660836, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4251,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4252,"[{'score': 0.529887, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4253,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4254,[]
4255,[]
4256,[]
4257,"[{'score': 0.915789, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.903127, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4258,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4259,"[{'score': 0.587863, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4260,"[{'score': 0.524618, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4261,[]
4262,[]
4263,
4264,[]
4265,"[{'score': 0.965509, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4266,
4267,"[{'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.534455, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4268,"[{'score': 0.911475, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4269,"[{'score': 0.561417, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4270,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4271,"[{'score': 0.598587, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4272,[]
4273,[]
4274,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4275,"[{'score': 0.947419, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.736148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4276,
4277,"[{'score': 0.747994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4278,"[{'score': 0.911762, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4279,"[{'score': 0.698156, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.883404, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4280,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4281,"[{'score': 0.619652, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893553, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.709321, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4282,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4283,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4284,"[{'score': 0.781887, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.952549, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4285,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4286,[]
4287,
4288,
4289,"[{'score': 0.555764, 'tone_id': 'fear', 'tone_name': 'Fear'}]"
4290,"[{'score': 0.890188, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4291,"[{'score': 0.827288, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.886272, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4292,"[{'score': 0.66945, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4293,[]
4294,
4295,[]
4296,"[{'score': 0.604529, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942233, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4297,
4298,"[{'score': 0.817737, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4299,"[{'score': 0.716955, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.71572, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.842799, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4300,
4301,[]
4302,"[{'score': 0.737687, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
4303,"[{'score': 0.783739, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4304,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4305,"[{'score': 0.525989, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.997415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4306,"[{'score': 0.9375, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4307,"[{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4308,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4309,
4310,"[{'score': 0.900134, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4311,"[{'score': 0.754069, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.808202, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4312,"[{'score': 0.758725, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.876898, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.946394, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4313,"[{'score': 0.788228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4314,
4315,"[{'score': 0.585404, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.769135, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4316,
4317,
4318,"[{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4319,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4320,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4321,"[{'score': 0.672507, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.858259, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4322,"[{'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.947344, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4323,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4324,[]
4325,"[{'score': 0.958817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4326,"[{'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4327,[]
4328,
4329,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4330,"[{'score': 0.579559, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4331,
4332,"[{'score': 0.980333, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4333,"[{'score': 0.902339, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4334,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4335,"[{'score': 0.796903, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4336,"[{'score': 0.775384, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849846, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4337,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4338,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4339,[]
4340,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4341,"[{'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.873263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4342,"[{'score': 0.725489, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4343,"[{'score': 0.884415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4344,"[{'score': 0.593856, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4345,
4346,"[{'score': 0.796684, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4347,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4348,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.814402, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4349,"[{'score': 0.965157, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4350,[]
4351,"[{'score': 0.616562, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4352,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4353,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4354,"[{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.944551, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4355,"[{'score': 0.592677, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4356,"[{'score': 0.830982, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.65021, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.689494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4357,[]
4358,[]
4359,"[{'score': 0.826325, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4360,"[{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4361,"[{'score': 0.578776, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.55795, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4362,"[{'score': 0.685685, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4363,"[{'score': 0.611842, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.779803, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.799399, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4364,"[{'score': 0.770831, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4365,"[{'score': 0.559362, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4366,"[{'score': 0.500244, 'tone_id': 'anger', 'tone_name': 'Anger'}]"
4367,"[{'score': 0.87766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4368,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4369,
4370,"[{'score': 0.690082, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.871525, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.895195, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4371,"[{'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4372,"[{'score': 0.550136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
4373,"[{'score': 0.735448, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.987926, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4374,"[{'score': 0.70075, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4375,[]
4376,
4377,"[{'score': 0.56992, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.932434, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4378,"[{'score': 0.55893, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4379,
4380,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4381,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4382,"[{'score': 0.735673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4383,"[{'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4384,"[{'score': 0.609031, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4385,"[{'score': 0.638636, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.663387, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4387,[]
4388,"[{'score': 0.71572, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4389,"[{'score': 0.607892, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4390,"[{'score': 0.600001, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4391,"[{'score': 0.505352, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.858259, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4392,"[{'score': 0.675553, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4393,[]
4394,"[{'score': 0.702304, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.853848, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4395,"[{'score': 0.846875, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4396,"[{'score': 0.891685, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4397,"[{'score': 0.594543, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.925605, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4398,"[{'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4399,"[{'score': 0.913895, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4400,"[{'score': 0.707607, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.711887, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4401,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4402,"[{'score': 0.855825, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4403,"[{'score': 0.900134, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4404,[]
4405,
4406,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4407,"[{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4408,"[{'score': 0.573824, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4409,"[{'score': 0.563958, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.965157, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4410,
4411,"[{'score': 0.681645, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4412,[]
4413,"[{'score': 0.646826, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4414,"[{'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.827288, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4415,[]
4416,[]
4417,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4418,[]
4419,"[{'score': 0.502194, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4420,[]
4421,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4422,[]
4423,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4424,"[{'score': 0.577118, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.660331, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4425,"[{'score': 0.650819, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.874814, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4426,"[{'score': 0.660127, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.66655, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.881046, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4427,
4428,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.93884, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4429,"[{'score': 0.561744, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4430,[]
4431,"[{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4432,"[{'score': 0.614937, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4433,"[{'score': 0.648471, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97997, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4434,"[{'score': 0.767008, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4435,"[{'score': 0.884616, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4436,"[{'score': 0.810144, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4437,[]
4438,[]
4439,
4440,"[{'score': 0.518993, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4441,"[{'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4442,"[{'score': 0.755078, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
4443,[]
4444,
4445,
4446,"[{'score': 0.647919, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.915789, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4447,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4448,"[{'score': 0.600307, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.840228, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4449,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4450,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4451,"[{'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4452,"[{'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4453,"[{'score': 0.790617, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.753541, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4454,"[{'score': 0.534851, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.99532, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4455,"[{'score': 0.560316, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4456,"[{'score': 0.571051, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.779803, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4457,
4458,"[{'score': 0.651514, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4459,"[{'score': 0.650694, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.948171, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.724637, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4460,[]
4461,"[{'score': 0.688774, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4462,"[{'score': 0.549789, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4463,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4464,"[{'score': 0.588596, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4465,"[{'score': 0.784384, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.669089, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.85781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4466,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4467,[]
4468,"[{'score': 0.584163, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.770435, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4469,
4470,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4471,"[{'score': 0.551197, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4472,"[{'score': 0.579049, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.905088, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4473,"[{'score': 0.941308, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4474,"[{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.97667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4475,[]
4476,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
4477,
4478,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4479,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4480,"[{'score': 0.517833, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4481,[]
4482,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4483,"[{'score': 0.512989, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4484,"[{'score': 0.574477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4485,"[{'score': 0.721116, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4486,"[{'score': 0.649094, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.968123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4487,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4488,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4489,"[{'score': 0.648977, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.943648, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4490,
4491,[]
4492,"[{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.786991, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4493,"[{'score': 0.573234, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
4494,"[{'score': 0.704399, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.91171, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
4495,"[{'score': 0.813077, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
